Category_name,Service_id,Service_name,Alias,Tags,Icon,Icon_color
Home Repair & Maintenance,carpenter,Carpenter,,"Furniture Repair, Furniture Assembly, Furniture Dismantling, Table Repair, Chair Repair, Bed Repair, Sofa Frame Repair, Wardrobe Repair, Cabinet Repair, Drawer Repair, Modular Kitchen Repair, Door Repair, Door Installation, Door Frame Repair, Window Repair, Shelving, Wall Shelf, TV Unit, Wooden Partition, Wooden Polishing, Plywood Work, MDF Work, Veneer Work, New Furniture, Custom Furniture, Furniture Modification, Hinge Replacement, Handle Replacement, General Woodwork",construct,#FF9800
Home Repair & Maintenance,painter,Painter,,"Interior Painting, Exterior Painting, Wall Painting, Ceiling Painting, Room Painting, Full-Home Painting, Single-Room Painting, Repainting, Fresh Painting, Texture Painting, Decorative Painting, Primer, Putty, Crack Filling, Damp-Wall Treatment, Wood Painting, Wood Polishing, Metal Painting, Gate Painting, Grill Painting, Door Painting, Spray Painting, Commercial Painting, Office Painting, Shop Painting, Touch-Up Painting, Colour Consultation",construct,#FF9800
Home Repair & Maintenance,handyman,Handyman,,"Drilling, Wall Mounting, Shelf Mounting, TV Mounting, Mirror Mounting, Curtain Rod Installation, Blind Installation, Picture Hanging, Furniture Assembly, Furniture Dismantling, Door Adjustment, Cabinet Adjustment, Hinge Replacement, Handle Replacement, Minor Plumbing, Minor Electrical Work, Fixture Installation, Bathroom Fixture Installation, Kitchen Fixture Installation, Appliance Mounting, Furniture Moving, Hooks Installation, Wall Anchors, Caulking, Silicone Sealing, Minor Repairs, General Maintenance",construct,#FF9800
Home Repair & Maintenance,locksmith,Locksmith,,"Lock Repair, Lock Replacement, New Lock Installation, Main-Door Lock, Bedroom Lock, Bathroom Lock, Cabinet Lock, Drawer Lock, Gate Lock, Shutter Lock, Digital Lock, Smart Lock, Safe/Locker Lock, Lock Opening, Emergency Lock Opening, Broken-Key Extraction, Key Duplication, Spare Key, Key Replacement, Lock Rekeying, Door Latch, Door Handle, Door Closer, Security Lock, Commercial Lock, Residential Lock",construct,#FF9800
Home Repair & Maintenance,glass_aluminium,Glass & Aluminium,,"Glass Replacement, Window Glass, Door Glass, Mirror Installation, Glass Partition, Shower Enclosure, Office Partition, Aluminium Window, Aluminium Door, Sliding Window, Sliding Door, Mosquito Mesh, Mesh Replacement, Glass Cutting, Toughened Glass, Laminated Glass, Frosted Glass, Decorative Glass, Table Glass, Balcony Glass, Glass Railing, Window Repair, Door Repair, Hardware Replacement, Seal Replacement",construct,#FF9800
Home Repair & Maintenance,welder_fabricator,Welder / Fabricator,,"Gate Fabrication, Gate Repair, Grill Fabrication, Grill Repair, Railing, Stair Railing, Balcony Railing, Metal Furniture, Metal Frame, Steel Fabrication, Mild-Steel Work, Stainless-Steel Work, Aluminium Fabrication, Welding Repair, New Welding, Metal Cutting, Metal Modification, Rolling Shutter, Safety Grill, Window Grill, Shed, Canopy, Structural Metal Work, Custom Fabrication",construct,#FF9800
Home Repair & Maintenance,waterproofing,Waterproofing,,"Terrace, Roof, Bathroom, Kitchen, Balcony, Basement, Wall, Floor, Water Tank, Swimming Pool, Leakage Repair, Dampness, Seepage, Crack Treatment, Terrace Leakage, Bathroom Leakage, Wall Seepage, Roof Leakage, Joint Sealing, Waterproof Coating, Chemical Waterproofing, Membrane Waterproofing, Grouting, Re-Waterproofing",construct,#FF9800
Appliance Repair,ac_service_repair,AC Service & Repair,,"AC Servicing, AC Cleaning, AC Deep Cleaning, Not Cooling, Low Cooling, Gas Charging, Gas Leakage, Water Leakage, Drain Blockage, Compressor, Fan, PCB, Sensor, Thermostat, Remote, Noise, Vibration, Bad Odour, Ice Formation, Electrical Issue, Voltage Issue, Indoor Unit, Outdoor Unit, AC Installation, AC Uninstallation, AC Relocation, Split AC, Window AC, Inverter AC",construct,#F44336
Appliance Repair,refrigerator_service,Refrigerator Service,,"Not Cooling, Low Cooling, Freezer Problem, Excessive Ice, No Ice, Gas/Refrigerant, Gas Leakage, Compressor, Thermostat, PCB, Fan, Water Leakage, Drain Blockage, Door Problem, Door Seal, Light, Display, Noise, Excessive Heating, Electrical Problem, Inverter Problem, Installation, Relocation, General Servicing",construct,#F44336
Appliance Repair,washing_machine_service,Washing Machine Service,,"Not Starting, Not Spinning, Not Draining, Not Filling Water, Water Leakage, Excessive Vibration, Excessive Noise, Door Problem, Lid Problem, Drum Problem, Motor, Belt, Pump, PCB, Sensor, Timer, Drain Blockage, Water Pressure, Electrical Problem, Installation, Uninstallation, Relocation, Front Load, Top Load, Semi-Automatic, Fully Automatic",construct,#F44336
Appliance Repair,geyser_service,Geyser Service,,"Not Heating, Low Heating, No Hot Water, Water Leakage, Tank Leakage, Heating Element, Thermostat, Pressure Problem, Electrical Problem, MCB Tripping, Temperature Problem, Noise, Rust, Valve Replacement, Installation, Uninstallation, Relocation, Storage Geyser, Instant Geyser, Gas Geyser",construct,#F44336
Appliance Repair,ro_water_purifier,RO / Water Purifier,,"RO Servicing, Filter Replacement, Sediment Filter, Carbon Filter, RO Membrane, UV Filter, UF Filter, TDS Problem, Low Water Flow, No Water, Bad Taste, Bad Odour, Water Leakage, Tank Leakage, Pump, Motor, Electrical Issue, PCB, Tap Replacement, Pipe Replacement, Installation, Relocation, AMC Service",construct,#F44336
Appliance Repair,microwave_oven,Microwave / Oven,,"Not Heating, Uneven Heating, Sparking, Turntable, Door, Door Seal, Display, Button, Timer, Control Panel, Fan, Electrical Issue, Fuse, Short Circuit, Burning Smell, Noise, Grill, Convection, Installation",construct,#F44336
Appliance Repair,chimney_hob,Chimney / Hob,,"Chimney Cleaning, Deep Cleaning, Low Suction, No Suction, Motor, Noise, Filter Cleaning, Filter Replacement, Oil Accumulation, Grease Removal, Duct Cleaning, Duct Installation, Duct Blockage, Electrical Issue, Switch, Hob Cleaning, Burner, Ignition, Flame Problem, Gas Leakage, Pipe Replacement, Hob Installation, Chimney Installation",construct,#F44336
Appliance Repair,tv_home_entertainment,TV / Home Entertainment,,"No Power, Screen, Display, Lines on Screen, No Sound, Distorted Sound, Remote, HDMI, Wi-Fi, Smart-TV Software, App Problem, Bluetooth, Speaker, Power Board, Motherboard, LED/LCD, Wall Mounting, Stand Installation, TV Installation, TV Relocation, Home Theatre, Soundbar, Speaker Installation, Projector Installation",construct,#F44336
Appliance Repair,inverter_ups,Inverter / UPS,,"Inverter Repair, UPS Repair, Battery Replacement, Battery Charging, Battery Not Charging, Backup Problem, Power Output, Wiring, Installation, Battery Leakage, Battery Health Check, Fuse, PCB, Overload, Voltage Problem, Home Inverter, Office UPS, Solar Inverter",construct,#F44336
Appliance Repair,gas_stove_hob,Gas Stove / Hob,,"Burner Repair, Burner Replacement, Ignition, Auto-Ignition, Flame Problem, Low Flame, Uneven Flame, Gas Leakage, Gas Pipe, Regulator, Knob, Burner Cleaning, Stove Cleaning, Hob Cleaning, Installation, Uninstallation, Glass-Top Repair, Safety Inspection",construct,#F44336
Home Installation & Technology,internet_wi_fi,Internet / Wi-Fi,,"Router Installation, Router Configuration, Router Replacement, Wi-Fi Setup, Wi-Fi Troubleshooting, Slow Wi-Fi, No Wi-Fi, Weak Signal, Wi-Fi Extender, Mesh Wi-Fi, Access Point, LAN Wiring, Ethernet, Network Setup, Network Troubleshooting, Smart-TV Connection, Printer Connection, CCTV Network, Home Network, Office Network, Modem Setup",construct,#9C27B0
Home Installation & Technology,cctv_security,CCTV & Security,,"CCTV Installation, Camera Installation, Camera Replacement, Camera Repair, DVR Setup, NVR Setup, Hard Disk, Camera Wiring, Cable Replacement, Remote Viewing, Mobile Viewing, Wi-Fi Camera, IP Camera, Video Doorbell, Door Sensor, Motion Sensor, Alarm System, Security System, Recording Problem, Camera Offline, Night Vision, Storage Problem, System Maintenance",construct,#9C27B0
Home Installation & Technology,appliance_installation,Appliance Installation,,"AC Installation, Refrigerator Installation, Washing Machine Installation, Dishwasher Installation, Geyser Installation, Microwave Installation, Chimney Installation, Hob Installation, RO Installation, TV Installation, Cooler Installation, Fan Installation, Inverter Installation, Appliance Uninstallation, Appliance Relocation, Appliance Connection, Demo/Setup",construct,#9C27B0
Home Installation & Technology,dth_set_top_box,DTH / Set-Top Box,,"New DTH Installation, Dish Alignment, Set-Top Box Setup, DTH Relocation, Signal Problem, Cable/Wiring Repair, Remote Setup, Channel Problem",construct,#9C27B0
Home Installation & Technology,solar,Solar,,"Solar Panel Installation, Solar Panel Cleaning, Solar Maintenance, Solar Repair, Solar Inverter, Solar Battery, Wiring, Mounting Structure, Panel Replacement, Low Generation, No Generation, Inverter Problem, Battery Problem, Electrical Connection, System Inspection, Performance Check, Rooftop Solar",construct,#9C27B0
Construction & Renovation,mason_civil_work,Mason / Civil Work,,"Brickwork, Blockwork, Wall Construction, Wall Demolition, Plastering, Cement Work, Concrete Work, RCC Work, Floor Screed, Crack Repair, Wall Repair, Ceiling Repair, Door Opening, Window Opening, Bathroom Civil Work, Kitchen Civil Work, Drain Construction, Partition Wall, Boundary Wall, Compound Wall, Renovation, New Construction, Demolition, Debris Removal",construct,#795548
Construction & Renovation,tile_work,Tile Work,,"Floor Tiles, Wall Tiles, Bathroom Tiles, Kitchen Tiles, Balcony Tiles, Outdoor Tiles, Ceramic Tiles, Vitrified Tiles, Porcelain Tiles, Tile Replacement, Broken Tile Repair, Tile Removal, Tile Installation, Grouting, Re-Grouting, Tile Cutting, Tile Levelling, Backsplash, Staircase Tiles, Commercial Tiling",construct,#795548
Construction & Renovation,flooring,Flooring,,"Marble, Granite, Vitrified, Ceramic, Wooden, Laminate, Vinyl, PVC, Stone, Floor Installation, Floor Replacement, Floor Repair, Floor Polishing, Floor Sanding, Floor Levelling, Floor Coating, Floor Restoration, Floor Skirting, Commercial Flooring, Residential Flooring",construct,#795548
Construction & Renovation,false_ceiling_pop,False Ceiling / POP,,"Gypsum Ceiling, POP Ceiling, PVC Ceiling, Decorative Ceiling, Cove Lighting, Ceiling Repair, Ceiling Replacement, Ceiling Partition, Gypsum Partition, POP Moulding, Decorative Moulding, Wall Panelling, Acoustic Panelling, Home Ceiling, Office Ceiling, Commercial Ceiling",construct,#795548
Construction & Renovation,modular_kitchen_furniture,Modular Kitchen / Furniture,,"Modular Kitchen, Kitchen Cabinets, Wardrobes, Storage Cabinets, TV Units, Crockery Units, Shoe Racks, Study Tables, Office Furniture, Custom Furniture, Furniture Installation, Furniture Modification, Furniture Repair, Drawer Installation, Drawer Repair, Hinges, Channels, Handles, Laminates, Veneer, Acrylic Finish, Glass Shutters, Plywood Work, MDF Work, Full Kitchen Setup, Kitchen Renovation",construct,#795548
Construction & Renovation,interior_designer,Interior Designer,,"Full-Home Interior, Living Room, Bedroom, Kids Room, Kitchen, Bathroom, Pooja Room, Balcony, Home Office, Office Interior, Shop Interior, Furniture Planning, Lighting Design, False Ceiling Design, Colour Consultation, Space Planning, Modular Kitchen Design, Wardrobe Design, Storage Design, Renovation Design, 3D Design, Budget Interior, Luxury Interior",construct,#795548
Construction & Renovation,architect_building_consultant,Architect / Building Consultant,,"House Plan, Floor Plan, Building Design, Renovation Plan, Structural Consultation, Building Consultation, Vastu Consultation, Site Planning, Approval Drawing, Residential Design, Commercial Design",construct,#795548
Vehicle Services,car_cleaning_detailing,Car Cleaning & Detailing,,"Car Washing, Interior Cleaning, Exterior Cleaning, Vacuum Cleaning, Dashboard Cleaning, Seat Cleaning, Carpet Cleaning, Roof-Liner Cleaning, Boot Cleaning, Engine-Bay Cleaning, Stain Removal, Odour Removal, Polishing, Waxing, Paint Correction, Headlight Polishing, Ceramic Coating, Interior Detailing, Exterior Detailing, Full Detailing, Waterless Wash",construct,#607D8B
Vehicle Services,car_repair_service,Car Repair & Service,,"General Servicing, Engine Repair, Engine Oil Change, Brake Repair, Brake Pad Replacement, Clutch Repair, Gearbox Repair, Suspension, Steering, AC Repair, Battery Replacement, Electrical Repair, Starter, Alternator, Cooling System, Radiator, Tyre Service, Wheel Alignment, Wheel Balancing, Puncture Repair, Exhaust, Silencer, Fuel System, Breakdown Repair, Vehicle Inspection, Preventive Maintenance",construct,#607D8B
Vehicle Services,bike_scooter_repair_service,Bike / Scooter Repair & Service,,"General Servicing, Engine Repair, Engine Oil Change, Brake Repair, Clutch, Gear, Chain, Sprocket, Suspension, Battery, Electrical, Starter, Tyre Replacement, Puncture Repair, Wheel Alignment, Wheel Balancing, Headlight, Indicator, Horn, Silencer, Fuel System, Breakdown Repair, Inspection, Preventive Maintenance",construct,#607D8B
Vehicle Services,driver,Driver,,"Personal Driver, Family Driver, Full-Time Driver, Part-Time Driver, Daily Driver, Monthly Driver, Temporary Driver, Outstation Driver, Airport Driver, Event Driver, Wedding Driver, Night Driver, Emergency Driver, School Pickup/Drop, Senior-Citizen Driver, Chauffeur, Replacement Driver, Holiday Driver",construct,#607D8B
Vehicle Services,vehicle_towing,Vehicle Towing,,"Car Towing, Bike Towing, SUV Towing, Accident Recovery, Breakdown Recovery, Flat-Tyre Recovery, Battery Breakdown, Highway Recovery, Local Towing, Long-Distance Towing, Garage Transfer, Vehicle Transport, Emergency Towing",construct,#607D8B
"Packers, Movers & Logistics",packers_movers,Packers & Movers,,"House Shifting, Apartment Shifting, Villa Shifting, Office Shifting, Shop Shifting, Local Shifting, Intercity Shifting, Interstate Shifting, Packing, Unpacking, Loading, Unloading, Furniture Dismantling, Furniture Assembly, Appliance Packing, Fragile Packing, Vehicle Transportation, Storage Assistance, Partial Shifting, Full-House Shifting, Single-Item Shifting",construct,#FFC107
"Packers, Movers & Logistics",tempo_mini_truck_goods_transport,Tempo / Mini-Truck / Goods Transport,,"Furniture Transport, Appliance Transport, Household Goods, Construction Material, Business Goods, Local Transport, Intercity Transport, Same-Day Transport, Pickup & Drop, Mini-Truck, Tempo, Tata Ace, Pickup Van, Loading Vehicle",construct,#FFC107
"Packers, Movers & Logistics",loading_unloading,Loading & Unloading,,"Household Loading, Household Unloading, Furniture Loading, Furniture Unloading, Appliance Loading, Office Loading, Office Unloading, Construction Material, Warehouse Loading, Warehouse Unloading, Truck Loading, Truck Unloading, Heavy Item Handling, Moving Assistance",construct,#FFC107
"Packers, Movers & Logistics",delivery_pickup,Delivery / Pickup,,"Documents, Parcels, Grocery, Medicines, Food, Furniture, Appliances, Business Goods, Local Delivery, Same-Day Delivery, Scheduled Delivery, Pickup & Drop, Commercial Delivery",construct,#FFC107
"Packers, Movers & Logistics",storage,Storage,,"Household Storage, Furniture Storage, Appliance Storage, Business Storage, Document Storage, Seasonal Storage, Short-Term Storage, Long-Term Storage, Pickup, Delivery, Packing, Inventory Handling",construct,#FFC107
Beauty & Personal Care,salon_beautician_at_home,Salon / Beautician at Home,,"Haircut, Hair Wash, Hair Styling, Blow Dry, Hair Coloring, Hair Spa, Hair Treatment, Facial, Cleanup, Bleach, Threading, Eyebrow, Upper Lip, Full-Face Threading, Waxing, Full-Body Waxing, Arms Waxing, Legs Waxing, Manicure, Pedicure, Head Massage, Saree Draping, Basic Grooming Package",construct,#E91E63
Beauty & Personal Care,makeup_artist,Makeup Artist,,"Bridal Makeup, Groom Makeup, Engagement Makeup, Party Makeup, Reception Makeup, Wedding Makeup, Festival Makeup, Fashion Makeup, Photoshoot Makeup, HD Makeup, Airbrush Makeup, Natural Makeup, Hairstyling, Saree Draping, Dupatta Setting, Makeup Trial, Group Makeup, Event Makeup",construct,#E91E63
Beauty & Personal Care,mehendi_artist,Mehendi Artist,,"Bridal Mehendi, Full-Hand Mehendi, Half-Hand Mehendi, Full-Leg Mehendi, Arabic Mehendi, Indian Mehendi, Rajasthani Mehendi, Minimal Mehendi, Traditional Designs, Modern Designs, Engagement Mehendi, Festival Mehendi, Party Mehendi, Custom Designs, Couple Mehendi, Guest Mehendi, Group Mehendi",construct,#E91E63
Beauty & Personal Care,massage_spa,Massage / Spa,,"Head Massage, Foot Massage, Back Massage, Shoulder Massage, Full-Body Massage, Relaxation Massage, Sports Massage, Deep-Tissue Massage, Swedish Massage, Thai Massage, Prenatal Massage, Post-Workout Massage, Spa Treatment, Body Scrub, Body Wrap, Foot Spa, Hand Spa",construct,#E91E63
Education & Training,home_tutor,Home Tutor,,"Primary School, Middle School, Secondary School, Higher Secondary, Homework Help, Board Exam Preparation, Entrance Preparation, One-to-One Tuition, Group Tuition, Home Tuition, Remedial Teaching, Reading, Writing, General Studies",construct,#3F51B5
Education & Training,mathematics_tutor,Mathematics Tutor,,"Primary Maths, School Maths, Arithmetic, Algebra, Geometry, Trigonometry, Calculus, Statistics, Mental Maths, Quantitative Aptitude, Board Exams, Competitive Exams, Homework Help, Exam Preparation, Remedial Maths",construct,#3F51B5
Education & Training,science_tutor,Science Tutor,,"General Science, Physics, Chemistry, Biology, Environmental Science, School Science, Board Preparation, Homework Help, Exam Preparation, Competitive Exams, Remedial Science",construct,#3F51B5
Education & Training,language_tutor,Language Tutor,,"English, Hindi, Sanskrit, Marathi, Gujarati, Bengali, Punjabi, Tamil, Telugu, Kannada, Malayalam, Urdu, Spoken English, Grammar, Reading, Writing, Vocabulary, Pronunciation, Conversation, School Language, Adult Language Learning, Exam Preparation",construct,#3F51B5
Education & Training,music_teacher,Music Teacher,,"Vocal, Hindustani Classical, Carnatic, Western Vocal, Guitar, Keyboard, Piano, Tabla, Harmonium, Violin, Flute, Music Theory, Beginner, Advanced, Children, Adults, Exam Preparation, Performance Preparation",construct,#3F51B5
Education & Training,dance_teacher,Dance Teacher,,"Bollywood, Kathak, Bharatanatyam, Odissi, Kuchipudi, Contemporary, Western, Hip-Hop, Jazz, Salsa, Garba, Bhangra, Kids Dance, Adult Dance, Wedding Choreography, Event Choreography, Fitness Dance, Beginner, Advanced",construct,#3F51B5
Education & Training,computer_coding_tutor,Computer / Coding Tutor,,"Basic Computer, Smartphone Training, Internet Basics, MS Word, MS Excel, PowerPoint, Email, Digital Payments, Online Services, Coding Basics, Python, Java, JavaScript, Web Development, App Development, Programming, Computer Literacy, Kids Coding, Adult Learning",construct,#3F51B5
Fitness & Wellness,yoga_trainer,Yoga Trainer,,"Beginner Yoga, Advanced Yoga, Hatha Yoga, Ashtanga, Vinyasa, Power Yoga, Prenatal Yoga, Postnatal Yoga, Kids Yoga, Senior Yoga, Flexibility, Strength, Mobility, Pranayama, Meditation, Stress Management, Relaxation, Home Yoga, Group Yoga, Personal Yoga",construct,#8BC34A
Fitness & Wellness,personal_trainer,Personal Trainer,,"Strength Training, Weight Training, Cardio, Weight Management, Muscle Building, Fat Loss, Functional Training, HIIT, Mobility, Flexibility, Endurance, Home Workout, Gym Training, Beginner Training, Senior Fitness, Sports Conditioning, General Fitness, Personalized Workout, Fitness Assessment",construct,#8BC34A
Fitness & Wellness,dietician_nutritionist,Dietician / Nutritionist,,"Weight Management, Weight Loss, Weight Gain, General Nutrition, Meal Planning, Vegetarian Diet, Vegan Diet, Child Nutrition, Senior Nutrition, Sports Nutrition, High-Protein Diet, Low-Calorie Diet, Diabetes-Friendly Diet, Heart-Healthy Diet, Lifestyle Nutrition, Nutrition Assessment, Custom Meal Plan, Family Meal Planning",construct,#8BC34A
Events & Celebrations,event_planner,Event Planner,,"Birthday, Wedding, Engagement, Anniversary, Baby Shower, Godh Bharai, Naming Ceremony, Mundan Ceremony, Housewarming, Religious Event, Corporate Event, Office Party, Product Launch, Private Party, Festival Event, School Event, College Event, Vendor Coordination, Guest Management, Venue Coordination, Event Logistics, Full Event Planning, Partial Event Planning",construct,#9E9E9E
Events & Celebrations,caterer,Caterer,,"Vegetarian, Non-Vegetarian, Jain Catering, North Indian, South Indian, Punjabi, Gujarati, Rajasthani, Bengali, Maharashtrian, Mughlai, Biryani, Chinese, Continental, Snacks, Breakfast, Lunch, Dinner, Buffet, Wedding Catering, Birthday Catering, Corporate Catering, House Party, Festival Catering, Live Counter, Dessert Counter, Beverage Service, Bulk Catering, Packed Meals",construct,#9E9E9E
Events & Celebrations,cake_bakery,Cake / Bakery,,"Birthday Cake, Wedding Cake, Anniversary Cake, Engagement Cake, Baby-Shower Cake, Theme Cake, Photo Cake, Designer Cake, Eggless Cake, Vegan Cake, Chocolate Cake, Fruit Cake, Red Velvet, Cheesecake, Cupcakes, Brownies, Pastries, Dessert Box, Custom Cake, Corporate Cake, Festival Sweets/Desserts, Bulk Orders",construct,#9E9E9E
Events & Celebrations,decoration,Decoration,,"Birthday Decoration, Wedding Decoration, Engagement Decoration, Anniversary Decoration, Baby Shower, Naming Ceremony, Housewarming, Festival Decoration, Balloon Decoration, Floral Decoration, Stage Decoration, Backdrop, Table Decoration, Room Decoration, Entrance Decoration, Mandap Decoration, Corporate Decoration, Theme Decoration, Home Decoration, Outdoor Decoration",construct,#9E9E9E
Events & Celebrations,photography_videography,Photography / Videography,,"Wedding, Pre-Wedding, Engagement, Birthday, Family, Baby, Maternity, Newborn, Portrait, Corporate, Product, Food, Property, Event, Festival, Religious Ceremony, Graduation, Fashion, Social Media Content, Reels, Short Videos, Wedding Video, Event Video, Drone Photography/Videography",construct,#9E9E9E
